,astA_AB_MRM1
461,44.42000198
462,44.66000366
463,44.70000458
464,44.56000137
465,44.36000443
466,44.32000351
467,44.24000168
468,44.1400032
469,44.04000473
470,43.82000351
471,43.68000412
472,43.72000122
473,43.76000214
474,43.82000351
475,43.82000351
476,43.86000443
477,43.90000153
478,43.92000198
479,43.94000244
480,43.90000153
481,43.84000397
482,43.80000305
483,43.78000259
484,43.76000214
485,43.94000244
486,44.00000381
487,44.16000366
488,44.30000305
489,44.32000351
490,44.44000244
491,44.4600029
492,44.60000229
493,44.56000137
494,44.42000198
495,44.44000244
496,44.42000198
497,44.36000443
498,44.34000397
499,44.36000443
500,44.28000259
501,44.26000214
502,44.4600029
503,44.48000336
504,44.40000153
505,44.34000397
506,44.26000214
507,44.20000458
508,44.04000473
509,44.00000381
510,43.90000153
511,43.68000412
512,43.70000458
513,43.70000458
514,43.74000168
515,43.68000412
516,43.84000397
517,44.00000381
518,44.00000381
519,43.94000244
520,44.08000183
521,44.06000137
522,44.18000412
523,44.16000366
524,44.20000458
525,44.04000473
526,44.04000473
527,44.26000214
528,44.30000305
529,44.32000351
530,44.28000259
531,44.20000458
532,44.30000305
533,44.32000351
534,44.24000168
535,44.06000137
536,43.9600029
537,44.08000183
538,44.06000137
539,44.16000366
540,44.16000366
541,44.04000473
542,43.94000244
543,44.02000427
544,44.02000427
545,43.92000198
546,43.76000214
547,43.72000122
548,43.78000259
549,43.78000259
550,43.80000305
551,43.9600029
552,43.94000244
553,44.06000137
554,44.1400032
555,44.26000214
556,44.24000168
557,44.18000412
558,44.08000183
559,44.08000183
560,43.88000488
561,43.84000397
562,43.74000168
563,43.66000366
564,43.6400032
565,43.6400032
566,43.80000305
567,43.84000397
568,43.78000259
569,43.84000397
570,43.88000488
571,43.74000168
572,43.66000366
573,43.6400032
574,43.52000427
575,43.36000443
576,43.40000153
577,43.48000336
578,43.42000198
579,43.38000488
580,43.54000473
581,43.60000229
582,43.62000275
583,43.74000168
584,43.78000259
585,43.72000122
586,43.72000122
587,43.80000305
588,43.78000259
589,43.68000412
590,43.66000366
591,43.56000137
592,43.48000336
593,43.42000198
594,43.4600029
595,43.42000198
596,43.34000397
597,43.32000351
598,43.34000397
599,43.52000427
600,43.58000183
601,43.6400032
602,43.60000229
603,43.68000412
604,43.68000412
605,43.82000351
606,43.90000153
607,43.92000198
608,43.74000168
609,43.74000168
610,43.74000168
611,43.80000305
612,43.72000122
613,43.70000458
614,43.60000229
615,43.58000183
616,43.60000229
617,43.70000458
618,43.80000305
619,43.88000488
620,43.92000198
621,43.9600029
622,43.92000198
623,43.82000351
624,43.80000305
625,43.76000214
626,43.74000168
627,43.60000229
628,43.48000336
629,43.4600029
630,43.34000397
631,43.30000305
632,43.30000305
633,43.20000458
634,43.10000229
635,43.02000427
636,43.12000275
637,43.1400032
638,43.16000366
639,43.34000397
640,43.36000443
641,43.38000488
642,43.40000153
643,43.44000244
644,43.50000381
645,43.50000381
646,43.4600029
647,43.42000198
648,43.36000443
649,43.40000153
650,43.34000397
651,43.34000397
652,43.38000488
653,43.28000259
654,43.30000305
655,43.42000198
656,43.50000381
657,43.50000381
658,43.4600029
659,43.4600029
660,43.32000351
661,43.20000458
662,43.20000458
663,43.12000275
664,43.00000381
665,43.00000381
666,43.04000473
667,43.12000275
668,43.16000366
669,43.20000458
670,43.20000458
671,43.22000122
672,43.22000122
673,43.28000259
674,43.24000168
675,43.28000259
676,43.32000351
677,43.38000488
678,43.40000153
679,43.50000381
680,43.48000336
681,43.52000427
682,43.62000275
683,43.62000275
684,43.52000427
685,43.44000244
686,43.38000488
687,43.44000244
688,43.36000443
689,43.40000153
690,43.38000488
691,43.24000168
692,43.40000153
693,43.48000336
694,43.52000427
695,43.58000183
696,43.54000473
697,43.56000137
698,43.48000336
699,43.44000244
700,43.48000336
701,43.36000443
702,43.34000397
703,43.40000153
704,43.40000153
705,43.50000381
706,43.60000229
707,43.68000412
708,43.80000305
709,43.90000153
710,43.92000198
711,43.90000153
712,43.88000488
713,43.86000443
714,43.82000351
715,43.84000397
716,43.84000397
717,43.78000259
718,43.72000122
719,43.86000443
720,43.94000244
721,43.92000198
722,43.92000198
723,43.78000259
724,43.90000153
725,43.94000244
726,43.94000244
727,43.9600029
728,43.80000305
729,43.78000259
730,43.74000168
731,43.74000168
732,43.76000214
733,43.60000229
734,43.56000137
735,43.50000381
736,43.48000336
737,43.4600029
738,43.44000244
739,43.44000244
740,43.48000336
741,43.42000198
742,43.4600029
743,43.4600029
744,43.48000336
745,43.50000381
746,43.54000473
747,43.58000183
748,43.74000168
749,43.76000214
750,44.02000427
751,44.12000275
752,44.26000214
753,44.42000198
754,44.40000153
755,44.30000305
756,44.32000351
757,44.32000351
758,44.30000305
759,44.16000366
760,44.12000275
761,44.04000473
762,44.00000381
763,44.02000427
764,43.9600029
765,43.86000443
766,43.82000351
767,43.84000397
768,43.82000351
769,43.74000168
770,43.6400032
771,43.54000473
772,43.48000336
773,43.48000336
774,43.38000488
775,43.26000214
776,43.22000122
777,43.26000214
778,43.40000153
779,43.54000473
780,43.54000473
781,43.52000427
