"#""+ESI MRM Frag=135.0V CF=0.000 DF=0.000 (245.10000 -> 209.10000) astA_AB_MRM1.d """,,
#Point,X(Minutes),Y(Counts)
379,7.9,43.82000351
380,7.9,43.92000198
381,7.91,44.06000137
382,7.92,44.10000229
383,7.92,44.1400032
384,7.93,44.18000412
385,7.94,44.08000183
386,7.94,44.04000473
387,7.95,44.08000183
388,7.96,44.02000427
389,7.96,43.88000488
390,7.97,43.90000153
391,7.98,43.92000198
392,7.98,43.86000443
393,7.99,43.80000305
394,8,43.76000214
395,8,43.78000259
396,8.01,43.78000259
397,8.02,43.86000443
398,8.02,43.86000443
399,8.03,43.84000397
400,8.04,43.98000336
401,8.04,44.02000427
402,8.05,44.08000183
403,8.06,44.20000458
404,8.07,44.16000366
405,8.07,44.18000412
406,8.08,44.20000458
407,8.09,44.28000259
408,8.09,44.22000504
409,8.1,44.12000275
410,8.11,44.12000275
411,8.11,44.06000137
412,8.12,43.92000198
413,8.13,43.88000488
414,8.13,43.80000305
415,8.14,43.66000366
416,8.15,43.52000427
417,8.15,43.52000427
418,8.16,43.56000137
419,8.17,43.62000275
420,8.17,43.60000229
421,8.18,43.68000412
422,8.19,43.72000122
423,8.19,43.76000214
424,8.2,43.74000168
425,8.21,43.82000351
426,8.21,43.80000305
427,8.22,43.82000351
428,8.23,43.9600029
429,8.24,44.10000229
430,8.24,44.22000504
431,8.25,44.30000305
432,8.26,44.56000137
433,8.26,44.66000366
434,8.27,44.68000412
435,8.28,44.70000458
436,8.28,44.58000183
437,8.29,44.44000244
438,8.3,44.32000351
439,8.3,44.36000443
440,8.31,44.4600029
441,8.32,44.30000305
442,8.32,44.48000336
443,8.33,44.42000198
444,8.34,44.42000198
445,8.34,44.62000275
446,8.35,44.70000458
447,8.36,44.66000366
448,8.36,44.48000336
449,8.37,44.50000381
450,8.38,44.48000336
451,8.38,44.36000443
452,8.39,44.38000488
453,8.4,44.28000259
454,8.4,44.02000427
455,8.41,44.00000381
456,8.42,44.16000366
457,8.43,44.26000214
458,8.43,44.16000366
459,8.44,44.28000259
460,8.45,44.34000397
461,8.45,44.42000198
462,8.46,44.66000366
463,8.47,44.70000458
464,8.47,44.56000137
465,8.48,44.36000443
466,8.49,44.32000351
467,8.49,44.24000168
468,8.5,44.1400032
469,8.51,44.04000473
470,8.51,43.82000351
471,8.52,43.68000412
472,8.53,43.72000122
473,8.53,43.76000214
474,8.54,43.82000351
475,8.55,43.82000351
476,8.55,43.86000443
477,8.56,43.90000153
478,8.57,43.92000198
479,8.57,43.94000244
480,8.58,43.90000153
481,8.59,43.84000397
482,8.59,43.80000305
483,8.6,43.78000259
484,8.61,43.76000214
485,8.62,43.94000244
486,8.62,44.00000381
487,8.63,44.16000366
488,8.64,44.30000305
489,8.64,44.32000351
490,8.65,44.44000244
491,8.66,44.4600029
492,8.66,44.60000229
493,8.67,44.56000137
494,8.68,44.42000198
495,8.68,44.44000244
496,8.69,44.42000198
497,8.7,44.36000443
498,8.7,44.34000397
499,8.71,44.36000443
500,8.72,44.28000259
501,8.72,44.26000214
502,8.73,44.4600029
503,8.74,44.48000336
504,8.74,44.40000153
505,8.75,44.34000397
506,8.76,44.26000214
507,8.76,44.20000458
508,8.77,44.04000473
509,8.78,44.00000381
510,8.79,43.90000153
511,8.79,43.68000412
512,8.8,43.70000458
513,8.81,43.70000458
514,8.81,43.74000168
515,8.82,43.68000412
516,8.83,43.84000397
517,8.83,44.00000381
518,8.84,44.00000381
519,8.85,43.94000244
520,8.85,44.08000183
521,8.86,44.06000137
522,8.87,44.18000412
523,8.87,44.16000366
524,8.88,44.20000458
525,8.89,44.04000473
526,8.89,44.04000473
527,8.9,44.26000214
528,8.91,44.30000305
529,8.91,44.32000351
530,8.92,44.28000259
531,8.93,44.20000458
532,8.93,44.30000305
533,8.94,44.32000351
534,8.95,44.24000168
535,8.95,44.06000137
536,8.96,43.9600029
537,8.97,44.08000183
538,8.98,44.06000137
539,8.98,44.16000366
540,8.99,44.16000366
541,9,44.04000473
542,9,43.94000244
543,9.01,44.02000427
544,9.02,44.02000427
545,9.02,43.92000198
546,9.03,43.76000214
547,9.04,43.72000122
548,9.04,43.78000259
549,9.05,43.78000259
550,9.06,43.80000305
551,9.06,43.9600029
552,9.07,43.94000244
553,9.08,44.06000137
554,9.08,44.1400032
555,9.09,44.26000214
556,9.1,44.24000168
557,9.1,44.18000412
558,9.11,44.08000183
559,9.12,44.08000183
560,9.12,43.88000488
561,9.13,43.84000397
562,9.14,43.74000168
563,9.15,43.66000366
564,9.15,43.6400032
565,9.16,43.6400032
566,9.17,43.80000305
567,9.17,43.84000397
568,9.18,43.78000259
569,9.19,43.84000397
570,9.19,43.88000488
571,9.2,43.74000168
572,9.21,43.66000366
573,9.21,43.6400032
574,9.22,43.52000427
575,9.23,43.36000443
576,9.23,43.40000153
577,9.24,43.48000336
578,9.25,43.42000198
579,9.25,43.38000488
580,9.26,43.54000473
581,9.27,43.60000229
582,9.27,43.62000275
583,9.28,43.74000168
584,9.29,43.78000259
585,9.29,43.72000122
586,9.3,43.72000122
587,9.31,43.80000305
588,9.31,43.78000259
589,9.32,43.68000412
590,9.33,43.66000366
591,9.34,43.56000137
592,9.34,43.48000336
593,9.35,43.42000198
594,9.36,43.4600029
595,9.36,43.42000198
596,9.37,43.34000397
597,9.38,43.32000351
598,9.38,43.34000397
599,9.39,43.52000427
600,9.4,43.58000183
601,9.4,43.6400032
602,9.41,43.60000229
603,9.42,43.68000412
604,9.42,43.68000412
605,9.43,43.82000351
606,9.44,43.90000153
607,9.44,43.92000198
608,9.45,43.74000168
609,9.46,43.74000168
610,9.46,43.74000168
611,9.47,43.80000305
612,9.48,43.72000122
613,9.48,43.70000458
614,9.49,43.60000229
615,9.5,43.58000183
616,9.51,43.60000229
617,9.51,43.70000458
618,9.52,43.80000305
619,9.53,43.88000488
620,9.53,43.92000198
621,9.54,43.9600029
622,9.55,43.92000198
623,9.55,43.82000351
624,9.56,43.80000305
625,9.57,43.76000214
626,9.57,43.74000168
627,9.58,43.60000229
628,9.59,43.48000336
629,9.59,43.4600029
630,9.6,43.34000397
631,9.61,43.30000305
632,9.61,43.30000305
633,9.62,43.20000458
634,9.63,43.10000229
635,9.63,43.02000427
636,9.64,43.12000275
637,9.65,43.1400032
638,9.65,43.16000366
639,9.66,43.34000397
640,9.67,43.36000443
641,9.67,43.38000488
642,9.68,43.40000153
643,9.69,43.44000244
644,9.7,43.50000381
645,9.7,43.50000381
646,9.71,43.4600029
647,9.72,43.42000198
648,9.72,43.36000443
649,9.73,43.40000153
650,9.74,43.34000397
651,9.74,43.34000397
652,9.75,43.38000488
653,9.76,43.28000259
654,9.76,43.30000305
655,9.77,43.42000198
656,9.78,43.50000381
657,9.78,43.50000381
658,9.79,43.4600029
659,9.8,43.4600029
660,9.8,43.32000351
661,9.81,43.20000458
662,9.82,43.20000458
663,9.82,43.12000275
664,9.83,43.00000381
665,9.84,43.00000381
666,9.84,43.04000473
667,9.85,43.12000275
668,9.86,43.16000366
669,9.87,43.20000458
670,9.87,43.20000458
671,9.88,43.22000122
672,9.89,43.22000122
673,9.89,43.28000259
674,9.9,43.24000168
675,9.91,43.28000259
676,9.91,43.32000351
677,9.92,43.38000488
678,9.93,43.40000153
679,9.93,43.50000381
680,9.94,43.48000336
681,9.95,43.52000427
682,9.95,43.62000275
683,9.96,43.62000275
684,9.97,43.52000427
685,9.97,43.44000244
686,9.98,43.38000488
687,9.99,43.44000244
688,9.99,43.36000443
689,10,43.40000153
690,10.01,43.38000488
691,10.01,43.24000168
692,10.02,43.40000153
693,10.03,43.48000336
694,10.03,43.52000427
695,10.04,43.58000183
696,10.05,43.54000473
697,10.06,43.56000137
698,10.06,43.48000336
699,10.07,43.44000244
700,10.08,43.48000336
701,10.08,43.36000443
702,10.09,43.34000397
703,10.1,43.40000153
704,10.1,43.40000153
705,10.11,43.50000381
706,10.12,43.60000229
707,10.12,43.68000412
708,10.13,43.80000305
709,10.14,43.90000153
710,10.14,43.92000198
711,10.15,43.90000153
712,10.16,43.88000488
713,10.16,43.86000443
714,10.17,43.82000351
